question,answer,0,1,2,3
enormously,tremendously,appropriately,uniquely,tremendously,decidedly
provisions,stipulations,stipulations,interrelations,jurisdictions,interpretations
haphazardly,randomly,dangerously,densely,randomly,linearly
prominent,conspicuous,battered,ancient,mysterious,conspicuous
zenith,pinnacle,completion,pinnacle,outset,decline
flawed,imperfect,tiny,imperfect,lustrous,crude
urgently,desperately,typically,conceivably,tentatively,desperately
consumed,eaten,bred,caught,eaten,supplied
advent,coming,coming,arrest,financing,stability
concisely,succinctly,powerfully,positively,freely,succinctly
salutes,greetings,information,ceremonies,greetings,privileges
solitary,alone,alert,restless,alone,fearless
hasten,accelerate,permit,determine,accelerate,accompany
perseverance,endurance,endurance,skill,generosity,disturbance
fanciful,imaginative,familiar,imaginative,apparent,logical
showed,demonstrated,demonstrated,published,repeated,postponed
constantly,continually,instantly,continually,rapidly,accidentally
issues,subjects,training,salaries,subjects,benefits
furnish,supply,supply,impress,protect,advise
costly,expensive,expensive,beautiful,popular,complicated
recognized,acknowledged,successful,depicted,acknowledged,welcomed
spot,location,climate,latitude,sea,location
make,earn,earn,print,trade,borrow
often,frequently,definitely,frequently,chemically,hardly
easygoing,relaxed,frontier,boring,farming,relaxed
debate,argument,war,argument,election,competition
narrow,thin,clear,freezing,thin,poisonous
arranged,planned,planned,explained,studied,discarded
infinite,limitless,limitless,relative,unusual,structural
showy,striking,striking,prickly,entertaining,incidental
levied,imposed,imposed,believed,requested,correlated
deftly,skillfully,skillfully,prudently,occasionally,humorously
distribute,circulate,commercialize,circulate,research,acknowledge
discrepancies,differences,weights,deposits,wavelengths,differences
prolific,productive,productive,serious,capable,promising
unmatched,unequaled,unrecognized,unequaled,alienated,emulated
peculiarly,uniquely,partly,uniquely,patriotically,suspiciously
hue,color,glare,contrast,color,scent
hind,rear,curved,muscular,hairy,rear
highlight,accentuate,alter,imitate,accentuate,restore
hastily,hurriedly,hurriedly,shrewdly,habitually,chronologically
temperate,mild,cold,mild,short,windy
grin,smile,exercise,rest,joke,smile
verbally,orally,orally,overtly,fittingly,verbosely
physician,doctor,chemist,pharmacist,nurse,doctor
essentially,basically,possibly,eagerly,basically,ordinarily
keen,sharp,useful,simple,famous,sharp
situated,positioned,rotating,isolated,emptying,positioned
principal,major,most,numerous,major,exceptional
slowly,gradually,rarely,gradually,effectively,continuously
built,constructed,constructed,proposed,financed,organized
tasks,jobs,customers,materials,shops,jobs
unlikely,improbable,improbable,disagreeable,different,unpopular
halfheartedly,apathetically,customarily,bipartisanly,apathetically,unconventionally
annals,chronicles,homes,trails,chronicles,songs
wildly,furiously,distinctively,mysteriously,abruptly,furiously
hailed,acclaimed,judged,acclaimed,remembered,addressed
command,mastery,observation,love,awareness,mastery
concocted,devised,devised,cleaned,requested,supervised
prospective,potential,particular,prudent,potential,prominent
generally,broadly,descriptively,broadly,controversially,accurately
sustained,prolonged,prolonged,refined,lowered,analyzed
perilous,dangerous,binding,exciting,offensive,dangerous
tranquillity,peacefulness,peacefulness,harshness,weariness,happiness
dissipate,disperse,disperse,isolate,disguise,photograph
primarily,chiefly,occasionally,cautiously,consistently,chiefly
colloquial,conversational,recorded,misunderstood,incorrect,conversational
resolved,settled,publicized,forgotten,settled,examined
feasible,possible,permitted,possible,equitable,evident
expeditiously,rapidly,frequently,actually,rapidly,repeatedly
percentage,proportion,volume,sample,proportion,profit
terminated,ended,ended,posed,postponed,evaluated
uniform,alike,hard,complex,alike,sharp
figure,solve,list,solve,divide,express
sufficient,enough,recent,physiological,enough,valuable
fashion,manner,ration,fathom,craze,manner
marketed,sold,frozen,sold,sweetened,diluted
bigger,larger,steadier,closer,larger,better
roots,origins,origins,rituals,cure,function
normally,ordinarily,haltingly,ordinarily,permanently,periodically
