enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,trade,wrong
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,clear,wrong
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,incidental,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,guess
distribute,circulate,commercialize,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,guess
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,alter,wrong
hastily,hurriedly,hurriedly,guess
temperate,mild,windy,wrong
grin,smile,smile,correct
verbally,orally,overtly,guess
physician,doctor,nurse,wrong
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,most,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,acclaimed,correct
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,descriptively,guess
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,harshness,wrong
dissipate,disperse,disperse,correct
primarily,chiefly,occasionally,wrong
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,equitable,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,wrong
terminated,ended,postponed,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,enough,correct
fashion,manner,craze,wrong
marketed,sold,sold,correct
bigger,larger,steadier,guess
roots,origins,origins,correct
normally,ordinarily,haltingly,guess
